Building,Year,Month,Day,Hour,Quarter,P1(Day),P2(Holiday),P3(HighestTemp),P4(CloudCover),P5(SolarIrradiance),Generation
1,2019,05,15,14,1,3,4,30.00,1,,10.00
1,2019,05,15,14,2,3,4,30.00,1,,12.00
1,2019,05,15,14,3,3,4,30.00,1,,12.00
1,2019,05,15,15,0,3,4,30.00,1,,10.00
1,2019,05,15,15,1,3,4,30.00,1,,11.00
1,2019,05,15,15,2,3,4,30.00,1,,11.00
1,2019,05,15,15,3,3,4,30.00,1,,10.00
1,2019,05,15,16,0,3,4,30.00,1,,10.00
1,2019,05,15,16,1,3,4,30.00,1,,9.00
1,2019,05,15,16,2,3,4,30.00,1,,6.00
1,2019,05,15,16,3,3,4,30.00,1,,1.00
1,2019,05,15,17,0,3,4,30.00,1,,1.00
1,2019,05,15,17,1,3,4,30.00,1,,1.00
1,2019,05,15,17,2,3,4,30.00,1,,1.00
1,2019,05,15,17,3,3,4,30.00,1,,2.00
1,2019,05,15,18,0,3,4,30.00,1,,3.00
1,2019,05,15,18,1,3,4,30.00,1,,1.00
1,2019,05,15,18,2,3,4,30.00,1,,1.00
1,2019,05,15,18,3,3,4,30.00,1,,0.00
1,2019,05,15,19,0,3,4,30.00,1,,1.00
1,2019,05,15,19,1,3,4,30.00,1,,0.00
1,2019,05,15,19,2,3,4,30.00,1,,0.00
1,2019,05,15,19,3,3,4,30.00,1,,0.00
1,2019,05,15,20,0,3,4,30.00,1,,0.00
1,2019,05,15,20,1,3,4,30.00,1,,0.00
1,2019,05,15,20,2,3,4,30.00,1,,0.00
1,2019,05,15,20,3,3,4,30.00,1,,0.00
1,2019,05,15,21,0,3,4,30.00,1,,0.00
1,2019,05,15,21,1,3,4,30.00,1,,0.00
1,2019,05,15,21,2,3,4,30.00,1,,0.00
1,2019,05,15,21,3,3,4,30.00,1,,0.00
1,2019,05,15,22,0,3,4,30.00,1,,0.00
1,2019,05,15,22,1,3,4,30.00,1,,0.00
1,2019,05,15,22,2,3,4,30.00,1,,0.00
1,2019,05,15,22,3,3,4,30.00,1,,0.00
1,2019,05,15,23,0,3,4,30.00,1,,0.00
1,2019,05,15,23,1,3,4,30.00,1,,0.00
1,2019,05,15,23,2,3,4,30.00,1,,0.00
1,2019,05,15,23,3,3,4,30.00,1,,0.00
1,2019,05,16,00,0,4,4,32.00,1,,0.00
1,2019,05,16,00,1,4,4,32.00,1,,0.00
